Partner;Dependents;tenure;PhoneService;InternetService;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn;Date;Treatment
Yes;Yes;63;Yes;No;Two year;No;Electronic check; 19,35;1263,85;0;2015-02-12;0
No;No;17;Yes;No;Month-to-month;No;Automatic; 21,10; 385,55;0;2018-11-23;1
Yes;Yes;42;Yes;Fiber optic;Month-to-month;Yes;Automatic; 77,95;3384,00;1;2016-11-03;1
Yes;Yes; 4;Yes;No;Month-to-month;No;Mailed check; 18,85;  84,20;0;2019-12-18;1
No;Yes;62;Yes;No;Two year;No;Automatic; 26,00;1638,70;0;2015-03-14;1
No;No; 2;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 74,70; 165,40;1;2020-02-16;0
Yes;No; 2;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 70,35; 120,25;0;2020-02-16;0
Yes;No;48;Yes;Fiber optic;Two year;Yes;Automatic; 96,90;4473,45;0;2016-05-07;1
Yes;No;27;Yes;No;Two year;No;Automatic; 19,55; 520,55;0;2018-01-27;0
Yes;Yes;70;Yes;DSL;Two year;Yes;Automatic; 80,40;5717,85;0;2014-07-17;1
No;No; 1;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 88,80;  88,80;1;2020-03-17;0
Yes;No;46;Yes;Fiber optic;One year;Yes;Electronic check; 94,65;4312,50;0;2016-07-06;1
No;No;30;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 90,25;2755,35;1;2017-10-29;0
No;No;15;Yes;DSL;Month-to-month;Yes;Automatic; 64,65; 994,55;1;2019-01-22;0
Yes;Yes;69;Yes;Fiber optic;One year;No;Automatic; 95,75;6511,25;0;2014-08-16;0
No;No;65;Yes;No;Two year;Yes;Automatic; 19,55;1218,65;0;2014-12-14;1
Yes;Yes;72;Yes;Fiber optic;Two year;Yes;Automatic;104,10;7447,70;0;2014-05-18;0
Yes;No;13;Yes;Fiber optic;Month-to-month;Yes;Automatic; 89,05;1169,35;1;2019-03-23;0
No;No;17;Yes;No;One year;Yes;Mailed check; 20,10; 279,50;0;2018-11-23;1
Yes;No;51;Yes;Fiber optic;One year;Yes;Electronic check;111,55;5720,35;0;2016-02-07;1
Yes;Yes;51;Yes;DSL;Two year;No;Automatic; 60,50;3121,45;0;2016-02-07;0
Yes;No;72;Yes;DSL;Two year;Yes;Automatic; 90,95;6468,60;0;2014-05-18;0
Yes;Yes;67;Yes;Fiber optic;One year;No;Electronic check; 87,40;5918,80;1;2014-10-15;1
No;No;34;Yes;No;Month-to-month;No;Mailed check; 19,70; 675,60;0;2017-07-01;1
Yes;No;67;No;DSL;Two year;Yes;Automatic; 50,95;3521,70;0;2014-10-15;0
Yes;No;49;Yes;No;One year;Yes;Automatic; 20,05; 923,10;0;2016-04-07;0
Yes;Yes;53;Yes;No;Two year;Yes;Mailed check; 19,40;1110,35;0;2015-12-09;1
No;No;27;Yes;DSL;Month-to-month;No;Electronic check; 59,45;1611,65;0;2018-01-27;0
No;No;23;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 94,75;2293,60;1;2018-05-27;0
No;No;69;Yes;DSL;Two year;Yes;Automatic; 81,50;5553,25;0;2014-08-16;1
Yes;Yes; 2;No;DSL;Month-to-month;No;Automatic; 29,05;  44,75;0;2020-02-16;0
No;No;35;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 86,45;3029,10;1;2017-06-01;1
Yes;No;46;Yes;DSL;One year;No;Mailed check; 70,60;3231,05;0;2016-07-06;1
No;No;54;Yes;Fiber optic;Two year;Yes;Automatic; 97,20;5129,45;0;2015-11-09;0
Yes;No;56;Yes;Fiber optic;One year;Yes;Electronic check; 98,25;5508,35;1;2015-09-10;0
Yes;No; 9;Yes;Fiber optic;Month-to-month;Yes;Automatic; 75,75; 655,90;1;2019-07-21;0
No;No;20;Yes;DSL;Month-to-month;No;Automatic; 59,20;1191,20;0;2018-08-25;0
No;No;11;Yes;Fiber optic;Month-to-month;Yes;Mailed check; 75,90; 866,40;0;2019-05-22;0
Yes;No;30;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 90,05;2627,20;0;2017-10-29;0
Yes;No;68;Yes;DSL;Two year;No;Automatic; 70,95;4741,45;0;2014-09-15;1
Yes;No;38;Yes;Fiber optic;Month-to-month;Yes;Electronic check;102,60;4009,20;0;2017-03-03;1
Yes;No;17;Yes;Fiber optic;Month-to-month;Yes;Automatic; 85,35;1463,45;1;2018-11-23;1
No;No;48;Yes;Fiber optic;One year;Yes;Automatic;106,10;5082,80;1;2016-05-07;0
No;No; 1;Yes;DSL;Month-to-month;No;Electronic check; 43,80;  43,80;0;2020-03-17;1
Yes;Yes;63;No;DSL;Two year;No;Electronic check; 59,00;3707,60;0;2015-02-12;1
No;No; 3;Yes;DSL;One year;Yes;Electronic check; 69,95; 220,45;0;2020-01-17;1
No;No;48;Yes;No;One year;No;Automatic; 24,35;1133,70;0;2016-05-07;1
No;No;66;No;DSL;One year;No;Automatic; 29,45;1983,15;0;2014-11-14;1
Yes;Yes;68;Yes;Fiber optic;Two year;Yes;Automatic; 84,40;5746,75;0;2014-09-15;0
No;No;17;Yes;DSL;Month-to-month;Yes;Electronic check; 45,05; 770,60;1;2018-11-23;0
Yes;Yes; 7;Yes;No;One year;No;Mailed check; 20,65; 134,05;0;2019-09-19;1
Yes;No;72;Yes;DSL;Two year;Yes;Automatic; 87,10;6230,10;0;2014-05-18;0
Yes;No;29;Yes;No;Month-to-month;No;Mailed check; 19,85; 573,05;0;2017-11-28;0
Yes;No;37;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 90,35;3419,30;0;2017-04-02;1
No;No;34;Yes;Fiber optic;Month-to-month;Yes;Mailed check;109,80;3587,25;1;2017-07-01;0
No;No;42;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 84,65;3541,35;1;2016-11-03;1
Yes;Yes;59;Yes;DSL;One year;No;Mailed check; 65,50;3801,30;0;2015-06-12;0
Yes;Yes;11;Yes;Fiber optic;Month-to-month;Yes;Automatic; 79,50; 868,50;1;2019-05-22;0
Yes;Yes;60;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 80,95;4859,10;0;2015-05-13;0
No;No;27;Yes;DSL;Month-to-month;Yes;Mailed check; 56,15;1439,35;0;2018-01-27;1
No;No; 1;Yes;Fiber optic;Month-to-month;No;Mailed check; 85,80;  85,80;1;2020-03-17;1
No;No; 1;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 79,10;  79,10;1;2020-03-17;1
Yes;No;17;No;DSL;Month-to-month;No;Mailed check; 34,40; 592,75;0;2018-11-23;1
Yes;No;58;Yes;No;Two year;No;Mailed check; 20,75;1185,95;0;2015-07-12;1
Yes;Yes; 1;Yes;No;One year;No;Mailed check; 18,80;  18,80;0;2020-03-17;1
Yes;Yes; 3;Yes;DSL;Month-to-month;No;Mailed check; 44,30; 134,50;1;2020-01-17;1
No;No;53;Yes;Fiber optic;Month-to-month;No;Electronic check; 90,80;4921,20;0;2015-12-09;0
No;No;35;Yes;No;Month-to-month;Yes;Electronic check; 25,60; 901,25;0;2017-06-01;1
Yes;Yes;50;Yes;Fiber optic;Month-to-month;No;Automatic;105,95;5341,80;1;2016-03-08;0
Yes;Yes;68;Yes;DSL;Two year;No;Automatic; 70,80;4859,95;0;2014-09-15;0
Yes;No;47;Yes;No;Month-to-month;No;Electronic check; 25,40;1139,20;0;2016-06-06;0
Yes;No;65;Yes;Fiber optic;Month-to-month;Yes;Automatic;108,80;7082,45;0;2014-12-14;1
No;No; 5;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 69,75; 324,60;1;2019-11-18;0
Yes;No;51;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 94,65;4812,75;1;2016-02-07;1
No;No;46;Yes;Fiber optic;Month-to-month;No;Automatic; 96,05;4399,50;1;2016-07-06;0
No;No; 9;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 76,85; 663,55;0;2019-07-21;0
No;No; 8;Yes;No;Two year;No;Mailed check; 20,25; 174,65;0;2019-08-20;1
No;No;14;Yes;No;One year;Yes;Automatic; 24,80; 321,70;0;2019-02-21;0
No;No;45;Yes;Fiber optic;Month-to-month;Yes;Electronic check;115,65;5125,50;0;2016-08-05;0
No;No; 8;Yes;Fiber optic;Month-to-month;Yes;Automatic; 74,60; 548,90;0;2019-08-20;1
No;Yes; 1;Yes;DSL;Month-to-month;Yes;Mailed check; 50,15;  50,15;1;2020-03-17;0
Yes;Yes;66;Yes;Fiber optic;One year;Yes;Automatic;103,15;7031,30;0;2014-11-14;1
Yes;Yes;72;Yes;DSL;Two year;No;Automatic; 72,10;5016,65;0;2014-05-18;0
Yes;No;41;Yes;Fiber optic;Month-to-month;Yes;Automatic;113,60;4594,95;1;2016-12-03;0
Yes;Yes;23;Yes;No;Two year;No;Mailed check; 25,10; 611,45;0;2018-05-27;1
No;No;29;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 78,90;2384,15;1;2017-11-28;1
No;No; 4;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 80,15; 319,85;0;2019-12-18;1
Yes;Yes; 6;Yes;No;Two year;No;Mailed check; 25,40; 153,30;0;2019-10-19;1
Yes;No;67;Yes;Fiber optic;One year;Yes;Automatic;105,40;7035,60;0;2014-10-15;1
No;Yes; 7;Yes;DSL;Month-to-month;Yes;Mailed check; 45,75; 344,20;0;2019-09-19;0
Yes;Yes;56;Yes;No;One year;Yes;Mailed check; 24,45;1431,65;0;2015-09-10;0
Yes;No;72;Yes;No;Two year;No;Automatic; 25,00;1849,20;0;2014-05-18;0
Yes;No;72;Yes;DSL;Two year;Yes;Electronic check; 85,25;6083,10;0;2014-05-18;0
Yes;Yes;23;Yes;No;Two year;No;Automatic; 19,60; 426,65;0;2018-05-27;1
No;Yes;35;Yes;DSL;Month-to-month;No;Mailed check; 50,15;1655,35;0;2017-06-01;0
Yes;No;27;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 70,55;1943,90;0;2018-01-27;1
Yes;Yes;26;Yes;DSL;Month-to-month;Yes;Electronic check; 60,05;1616,15;1;2018-02-26;0
Yes;Yes;12;Yes;No;One year;No;Mailed check; 26,40; 314,95;0;2019-04-22;1
No;No;40;Yes;No;Two year;No;Mailed check; 20,15; 804,85;0;2017-01-02;0
Yes;Yes; 7;No;DSL;Month-to-month;No;Mailed check; 58,85; 465,70;0;2019-09-19;1
Yes;Yes;70;Yes;Fiber optic;Month-to-month;Yes;Automatic; 97,55;6669,05;0;2014-07-17;1
Yes;Yes;60;Yes;No;Two year;No;Automatic; 19,65;1161,75;0;2015-05-13;0
Yes;Yes;39;No;DSL;One year;Yes;Automatic; 25,25; 947,75;0;2017-02-01;0
Yes;No;72;Yes;Fiber optic;Two year;No;Automatic;114,45;8375,05;0;2014-05-18;1
No;No; 1;No;DSL;Month-to-month;Yes;Electronic check; 34,70;  34,70;1;2020-03-17;0
Yes;Yes;54;Yes;DSL;One year;Yes;Electronic check; 70,70;3770,00;0;2015-11-09;0
No;No; 3;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 85,30; 264,80;1;2020-01-17;0
Yes;Yes;63;Yes;DSL;Two year;No;Automatic; 75,55;4707,85;0;2015-02-12;0
Yes;Yes;71;Yes;Fiber optic;Two year;Yes;Electronic check; 84,80;6152,40;0;2014-06-17;0
No;No;42;Yes;No;One year;Yes;Mailed check; 20,65; 958,10;0;2016-11-03;1
No;No;47;Yes;No;Two year;No;Automatic; 20,45; 943,00;0;2016-06-06;0
Yes;Yes;66;Yes;Fiber optic;One year;Yes;Automatic;102,45;6615,15;1;2014-11-14;0
Yes;No;21;Yes;Fiber optic;Month-to-month;Yes;Automatic;104,40;2200,25;1;2018-07-26;0
No;No;11;No;DSL;Month-to-month;Yes;Electronic check; 35,65; 425,10;0;2019-05-22;0
No;Yes; 1;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 99,75;  99,75;1;2020-03-17;1
Yes;No;55;Yes;Fiber optic;Month-to-month;No;Electronic check; 90,45;5044,80;0;2015-10-10;0
No;No;69;Yes;Fiber optic;Two year;Yes;Automatic; 97,65;6743,55;0;2014-08-16;0
No;No; 3;Yes;Fiber optic;Month-to-month;No;Electronic check; 73,85; 196,40;0;2020-01-17;0
No;No; 4;Yes;DSL;Month-to-month;Yes;Electronic check; 74,40; 299,70;1;2019-12-18;0
No;No;30;Yes;DSL;Two year;Yes;Automatic; 69,10;2093,90;0;2017-10-29;1
No;No; 5;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 82,75; 417,75;0;2019-11-18;1
Yes;No;71;Yes;No;Two year;Yes;Automatic; 24,40;1725,40;0;2014-06-17;0
No;No;29;Yes;DSL;One year;Yes;Electronic check; 55,25;1620,20;0;2017-11-28;1
Yes;No;52;Yes;DSL;Month-to-month;No;Automatic; 61,35;3169,55;0;2016-01-08;0
No;No;68;Yes;DSL;One year;No;Automatic; 76,75;5233,25;0;2014-09-15;0
Yes;Yes;46;Yes;No;Two year;No;Mailed check; 19,40; 967,85;0;2016-07-06;1
No;No; 8;Yes;DSL;Month-to-month;Yes;Automatic; 54,75; 438,05;0;2019-08-20;0
Yes;No;72;Yes;No;Two year;No;Automatic; 19,70;1421,90;0;2014-05-18;1
No;No;17;Yes;No;One year;No;Automatic; 19,90; 323,15;0;2018-11-23;0
No;No; 3;Yes;Fiber optic;Month-to-month;Yes;Electronic check;107,95; 318,60;0;2020-01-17;1
No;No; 2;Yes;Fiber optic;Month-to-month;Yes;Automatic; 83,80; 163,70;0;2020-02-16;1
No;No; 9;Yes;Fiber optic;Month-to-month;Yes;Automatic; 74,25; 639,65;1;2019-07-21;1
No;No;51;No;DSL;One year;Yes;Automatic; 56,40;2928,50;0;2016-02-07;1
Yes;Yes; 6;Yes;No;Two year;No;Mailed check; 20,10; 100,35;0;2019-10-19;0
Yes;No; 3;Yes;Fiber optic;Month-to-month;No;Electronic check; 94,90; 273,20;0;2020-01-17;0
No;No;17;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 94,20;1608,15;0;2018-11-23;0
Yes;No;30;Yes;DSL;Month-to-month;No;Electronic check; 49,90;1441,95;0;2017-10-29;0
No;No;31;Yes;DSL;Month-to-month;Yes;Electronic check; 71,05;2168,15;0;2017-09-29;0
No;No;45;Yes;DSL;Two year;No;Automatic; 81,65;3618,70;0;2016-08-05;0
Yes;No;64;Yes;Fiber optic;One year;No;Automatic; 89,45;5692,65;0;2015-01-13;1
No;No; 1;Yes;DSL;Month-to-month;Yes;Electronic check; 59,85;  59,85;1;2020-03-17;1
No;No; 1;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 69,60;  69,60;1;2020-03-17;0
Yes;Yes;61;Yes;Fiber optic;One year;No;Electronic check; 99,00;5969,30;0;2015-04-13;1
No;No; 1;Yes;No;Month-to-month;No;Mailed check; 19,05;  19,05;0;2020-03-17;1
No;No; 9;No;DSL;Month-to-month;Yes;Electronic check; 45,40; 418,80;1;2019-07-21;1
Yes;Yes;72;Yes;Fiber optic;Two year;No;Automatic;114,45;8100,55;0;2014-05-18;1
No;No; 1;Yes;No;Month-to-month;No;Mailed check; 19,50;  19,50;1;2020-03-17;0
Yes;No; 7;Yes;DSL;Month-to-month;Yes;Mailed check; 44,25; 313,45;0;2019-09-19;0
Yes;No;66;Yes;Fiber optic;One year;Yes;Automatic; 90,55;6130,95;0;2014-11-14;0
No;No; 1;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 69,90;  69,90;1;2020-03-17;1
Yes;Yes;40;Yes;No;Month-to-month;Yes;Automatic; 20,40; 745,30;0;2017-01-02;1
No;No;16;Yes;DSL;Month-to-month;Yes;Automatic; 71,40;1212,10;0;2018-12-23;0
No;No; 2;Yes;Fiber optic;Month-to-month;Yes;Automatic; 87,15; 183,75;1;2020-02-16;0
Yes;No;67;Yes;No;Two year;No;Automatic; 24,85;1583,50;0;2014-10-15;0
Yes;No;41;Yes;Fiber optic;One year;Yes;Automatic;104,45;4162,05;0;2016-12-03;1
Yes;Yes;56;Yes;No;Two year;Yes;Automatic; 19,80;1119,90;0;2015-09-10;1
No;No;72;Yes;Fiber optic;Two year;Yes;Automatic;116,45;8013,55;0;2014-05-18;0
Yes;Yes; 3;Yes;Fiber optic;Month-to-month;Yes;Automatic; 84,75; 264,85;1;2020-01-17;1
Yes;No;54;Yes;No;Two year;No;Automatic; 20,05;1102,40;0;2015-11-09;0
No;No;52;Yes;Fiber optic;Month-to-month;Yes;Electronic check;110,75;5832,00;0;2016-01-08;1
No;No;50;Yes;Fiber optic;Two year;Yes;Automatic; 89,70;4304,50;0;2016-03-08;1
No;No;14;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 89,95;1178,40;1;2019-02-21;0
Yes;No;27;Yes;DSL;One year;No;Automatic; 48,70;1421,75;0;2018-01-27;1
Yes;No;72;Yes;Fiber optic;Two year;Yes;Automatic; 96,60;6827,50;0;2014-05-18;0
No;No;62;Yes;DSL;One year;Yes;Automatic; 74,30;4698,05;0;2015-03-14;1
No;No;12;Yes;DSL;Month-to-month;Yes;Electronic check; 54,30; 654,50;0;2019-04-22;0
No;No;44;Yes;DSL;One year;No;Automatic; 74,85;3268,05;0;2016-09-04;1
Yes;Yes;54;Yes;Fiber optic;Two year;Yes;Automatic; 79,95;4362,05;0;2015-11-09;0
No;No;68;Yes;No;Two year;No;Automatic; 20,05;1386,90;0;2014-09-15;0
No;No;20;Yes;No;Month-to-month;No;Mailed check; 19,40; 415,40;0;2018-08-25;0
Yes;Yes;50;Yes;DSL;One year;No;Automatic; 54,90;2614,10;0;2016-03-08;0
No;No;58;Yes;No;Two year;Yes;Automatic; 24,45;1513,60;0;2015-07-12;0
Yes;Yes;35;Yes;Fiber optic;Month-to-month;Yes;Automatic; 89,65;3161,60;0;2017-06-01;0
No;No; 2;Yes;DSL;Month-to-month;Yes;Electronic check; 45,40;  80,95;0;2020-02-16;0
Yes;Yes;63;Yes;DSL;Two year;No;Mailed check; 75,70;4676,70;0;2015-02-12;0
Yes;No;58;Yes;Fiber optic;One year;Yes;Automatic;110,65;6526,65;0;2015-07-12;0
Yes;Yes;27;Yes;No;One year;Yes;Mailed check; 20,55; 583,30;0;2018-01-27;1
Yes;No;71;Yes;Fiber optic;Two year;Yes;Automatic;115,15;8078,10;0;2014-06-17;1
No;No;63;Yes;DSL;One year;No;Automatic; 58,55;3503,50;0;2015-02-12;0
Yes;No;71;Yes;Fiber optic;Month-to-month;Yes;Automatic; 93,25;6669,45;0;2014-06-17;1
No;No;41;Yes;Fiber optic;Month-to-month;Yes;Electronic check;113,20;4689,50;1;2016-12-03;0
No;No;13;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 90,50;1201,15;1;2019-03-23;1
No;No; 2;Yes;Fiber optic;Month-to-month;No;Electronic check; 79,00; 143,65;1;2020-02-16;0
Yes;Yes;68;Yes;No;Two year;Yes;Automatic; 19,35;1292,65;0;2014-09-15;0
Yes;Yes; 1;Yes;DSL;Month-to-month;Yes;Mailed check; 48,75;  48,75;0;2020-03-17;0
No;No;65;Yes;Fiber optic;Two year;Yes;Electronic check;109,05;7108,20;0;2014-12-14;1
Yes;No;72;Yes;No;Two year;Yes;Automatic; 25,00;1802,55;0;2014-05-18;1
No;No;28;Yes;DSL;Month-to-month;Yes;Automatic; 54,90;1505,15;0;2017-12-28;0
Yes;Yes;72;Yes;No;Two year;No;Automatic; 24,75;1859,10;0;2014-05-18;1
No;No; 2;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 91,15; 168,50;0;2020-02-16;1
No;Yes;18;Yes;No;One year;No;Automatic; 20,15; 390,85;1;2018-10-24;0
Yes;No;60;Yes;Fiber optic;One year;Yes;Electronic check;104,35;6339,45;0;2015-05-13;0
No;No;26;Yes;DSL;Month-to-month;Yes;Electronic check; 66,05;1652,40;0;2018-02-26;0
No;Yes; 1;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 71,65;  71,65;1;2020-03-17;0
No;No; 4;Yes;No;Month-to-month;No;Mailed check; 20,35;  77,50;1;2019-12-18;1
Yes;Yes;68;Yes;DSL;Two year;Yes;Automatic; 92,20;6392,85;0;2014-09-15;0
No;No;38;Yes;Fiber optic;Month-to-month;Yes;Automatic; 84,25;3264,50;1;2017-03-03;0
Yes;No;42;Yes;Fiber optic;One year;Yes;Automatic;105,20;4599,15;0;2016-11-03;1
Yes;No;57;Yes;No;Two year;Yes;Automatic; 19,60;1134,25;0;2015-08-11;1
Yes;No;54;No;DSL;Month-to-month;No;Electronic check; 30,40;1621,35;0;2015-11-09;0
No;No;12;Yes;Fiber optic;Month-to-month;No;Automatic; 78,10; 947,30;1;2019-04-22;0
Yes;No;44;Yes;DSL;One year;Yes;Mailed check; 61,50;2722,20;0;2016-09-04;0
Yes;Yes;42;Yes;DSL;Month-to-month;Yes;Automatic; 69,40;3058,30;0;2016-11-03;1
Yes;Yes;72;Yes;No;Two year;No;Automatic; 24,75;1769,60;0;2014-05-18;1
Yes;Yes;71;Yes;DSL;Two year;No;Mailed check; 91,05;6293,75;0;2014-06-17;0
Yes;No;19;Yes;Fiber optic;Month-to-month;No;Mailed check; 89,65;1761,05;1;2018-09-24;0
Yes;No;23;Yes;DSL;Month-to-month;Yes;Automatic; 73,65;1642,75;0;2018-05-27;1
No;No;30;Yes;No;Two year;No;Automatic; 19,40; 578,50;0;2017-10-29;0
No;No;35;Yes;No;One year;No;Automatic; 26,20; 954,90;0;2017-06-01;1
No;No;10;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 98,70; 973,25;1;2019-06-21;1
No;No; 1;Yes;DSL;Month-to-month;Yes;Automatic; 43,85;  43,85;0;2020-03-17;1
No;No;22;Yes;Fiber optic;Month-to-month;Yes;Mailed check; 69,70;1490,40;0;2018-06-26;1
Yes;Yes; 7;No;DSL;Two year;No;Mailed check; 38,55; 280,00;0;2019-09-19;1
No;No;36;No;DSL;Two year;Yes;Mailed check; 53,10;1901,25;0;2017-05-02;0
Yes;Yes;34;Yes;No;Month-to-month;No;Mailed check; 20,65; 716,40;0;2017-07-01;1
Yes;Yes;72;Yes;DSL;Two year;No;Automatic; 64,45;4720,00;0;2014-05-18;1
Yes;Yes;36;Yes;No;Two year;No;Automatic; 25,10; 930,95;0;2017-05-02;0
No;No; 1;Yes;Fiber optic;Month-to-month;No;Electronic check; 76,35;  76,35;1;2020-03-17;1
No;No;23;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 79,15;1676,95;1;2018-05-27;1
Yes;No;32;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 85,00;2642,05;1;2017-08-30;1
Yes;Yes;71;Yes;Fiber optic;One year;Yes;Automatic; 95,15;6770,85;0;2014-06-17;0
No;No;23;Yes;Fiber optic;Month-to-month;Yes;Mailed check; 79,35;1835,30;0;2018-05-27;0
Yes;No;17;Yes;Fiber optic;One year;Yes;Automatic; 96,65;1588,25;0;2018-11-23;0
No;No; 1;Yes;DSL;Month-to-month;Yes;Electronic check; 75,50;  75,50;0;2020-03-17;0
Yes;Yes;12;Yes;No;Two year;No;Mailed check; 19,70; 258,35;0;2019-04-22;1
Yes;No;72;Yes;No;Two year;No;Automatic; 20,50;1502,25;0;2014-05-18;1
No;No; 1;Yes;No;Month-to-month;No;Mailed check; 19,20;  19,20;0;2020-03-17;0
Yes;No;72;Yes;Fiber optic;Two year;No;Automatic; 98,35;6929,40;0;2014-05-18;0
Yes;Yes;60;Yes;Fiber optic;Month-to-month;No;Automatic; 74,35;4453,30;0;2015-05-13;0
Yes;Yes;61;No;DSL;Two year;No;Automatic; 51,35;3244,40;0;2015-04-13;0
Yes;No; 6;Yes;DSL;Month-to-month;No;Mailed check; 45,65; 323,45;0;2019-10-19;1
Yes;No;32;Yes;Fiber optic;Month-to-month;No;Electronic check; 85,30;2661,10;1;2017-08-30;0
No;Yes;31;Yes;Fiber optic;Month-to-month;Yes;Automatic; 86,55;2697,40;1;2017-09-29;1
No;No;19;Yes;Fiber optic;Month-to-month;Yes;Automatic; 73,85;1424,50;1;2018-09-24;1
Yes;Yes;72;Yes;No;Two year;No;Automatic; 20,30;1401,15;0;2014-05-18;0
No;No;32;Yes;DSL;Month-to-month;Yes;Electronic check; 54,20;1739,60;0;2017-08-30;1
Yes;No;65;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 90,65;5931,00;0;2014-12-14;0
Yes;Yes;45;No;DSL;Month-to-month;Yes;Automatic; 50,90;2333,85;0;2016-08-05;1
No;No;42;Yes;No;One year;No;Electronic check; 25,05; 949,85;0;2016-11-03;0
No;No; 8;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 74,85; 572,45;0;2019-08-20;0
No;Yes;32;Yes;No;Two year;No;Mailed check; 20,50; 696,80;0;2017-08-30;0
Yes;No;22;Yes;DSL;Month-to-month;Yes;Mailed check; 63,55;1381,80;0;2018-06-26;0
Yes;No;57;No;DSL;Month-to-month;Yes;Electronic check; 44,85;2572,95;1;2015-08-11;0
No;No; 1;Yes;DSL;Month-to-month;No;Electronic check; 47,95;  47,95;0;2020-03-17;0
No;No; 1;Yes;DSL;Month-to-month;No;Electronic check; 45,10;  45,10;1;2020-03-17;1
Yes;No; 1;Yes;DSL;Month-to-month;Yes;Electronic check; 45,00;  45,00;0;2020-03-17;1
No;No;24;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 96,00;2122,45;1;2018-04-27;1
No;No; 1;Yes;No;Month-to-month;No;Automatic; 20,05;  20,05;1;2020-03-17;1
No;No;54;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 90,05;4931,80;0;2015-11-09;1
No;No; 4;Yes;No;Two year;Yes;Automatic; 25,30; 116,95;0;2019-12-18;1
Yes;Yes;65;Yes;Fiber optic;Two year;No;Automatic;108,65;6937,95;1;2014-12-14;0
Yes;No;56;Yes;No;One year;No;Electronic check; 24,30;1261,70;0;2015-09-10;1
No;No;45;Yes;DSL;Month-to-month;Yes;Electronic check; 75,95;3273,80;0;2016-08-05;0
Yes;Yes;71;Yes;No;Two year;No;Automatic; 19,70;1415,85;0;2014-06-17;0
Yes;No;59;Yes;DSL;One year;No;Automatic; 66,40;3958,20;0;2015-06-12;0
No;No;69;No;DSL;One year;Yes;Automatic; 35,75;2492,25;0;2014-08-16;0
No;No;19;Yes;No;One year;No;Mailed check; 18,80; 279,20;0;2018-09-24;1
Yes;Yes;55;Yes;No;Two year;No;Automatic; 19,40;1083,00;0;2015-10-10;0
No;No;38;Yes;No;One year;No;Mailed check; 19,30; 755,50;0;2017-03-03;1
No;No;10;Yes;DSL;Month-to-month;Yes;Electronic check; 45,55; 402,60;1;2019-06-21;0
Yes;No;47;Yes;DSL;Month-to-month;Yes;Automatic; 67,45;3252,00;0;2016-06-06;1
Yes;No; 2;No;DSL;Month-to-month;Yes;Electronic check; 35,10;  68,75;1;2020-02-16;0
No;No; 1;Yes;DSL;Month-to-month;No;Automatic; 46,20;  46,20;1;2020-03-17;1
No;No; 1;Yes;DSL;Month-to-month;No;Electronic check; 45,15;  45,15;1;2020-03-17;1
No;No; 1;No;DSL;Month-to-month;Yes;Electronic check; 43,30;  43,30;1;2020-03-17;1
Yes;Yes;46;Yes;No;Two year;Yes;Mailed check; 20,10; 936,85;0;2016-07-06;0
No;No;38;Yes;DSL;Month-to-month;Yes;Automatic; 57,15;2250,65;1;2017-03-03;1
Yes;No;65;Yes;DSL;Two year;No;Automatic; 58,90;3857,10;0;2014-12-14;1
Yes;No;19;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 73,20;1441,10;1;2018-09-24;1
No;No;52;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 85,35;4338,60;1;2016-01-08;1
